source,target,type,value
Blue Hydrogen,Hydrogen_Generation,Blue Hydrogen,24.73069831
Green Hydrogen,Hydrogen_Generation,Green Hydrogen,10.71248085
Pink Hydrogen,Hydrogen_Generation,Pink Hydrogen,1
Hydrogen_Generation,Road Transport,Road Transport,0.940600024
Hydrogen_Generation,Residential,Residential,0
Hydrogen_Generation,Commercial,Commercial,1.614823513
Hydrogen_Generation,Industrial,Industrial,7.739818119
Hydrogen_Generation,Power Generation,Power Generation,2.9
Hydrogen_Generation,Rail,Rail,0.520554808
Hydrogen_Generation,Shipping,Shipping,0.5
Hydrogen_Generation,Blending,Blending,22.08219074
Hydrogen_Generation,Direct Air Carbon Capture and Storage,Direct Air Carbon Capture and Storage,0
Hydrogen_Generation,Transmission Losses,Transmission Losses,0.145191949
